Date,Usage
2015-08-01,366.36
2015-08-02,823.54
2015-08-03,1688.3500000000001
2015-08-04,1799.81
2015-08-05,1753.37
2015-08-06,1936.03
2015-08-07,1107.33
2015-08-08,601.65
2015-08-09,1251.8200000000002
2015-08-10,1814.25
2015-08-11,1781.23
2015-08-12,1874.11
2015-08-13,1346.76
2015-08-14,685.25
2015-08-15,449.95
2015-08-16,1169.25
2015-08-17,1563.48
2015-08-18,1898.88
2015-08-19,1640.88
2015-08-20,1375.65
2015-08-21,721.36
2015-08-22,430.34000000000003
2015-08-23,990.72
2015-08-24,1722.4
2015-08-25,1590.31
2015-08-26,1968.05
2015-08-27,1599.6
2015-08-28,856.5600000000001
2015-08-29,459.24
2015-08-30,1187.83
2015-08-31,1796.5
2015-09-01,1473.05
2015-09-02,1598.0500000000002
2015-09-03,1555.6999999999998
2015-09-04,586.74
2015-09-05,228.29000000000002
2015-09-06,541.29
2015-09-07,856.36
2015-09-08,1426.5800000000002
2015-09-09,1756.1000000000001
2015-09-10,1222.04
2015-09-11,655.96
2015-09-12,369.82
2015-09-13,1293.31
2015-09-14,1514.38
2015-09-15,1499.9099999999999
2015-09-16,1595.99
2015-09-17,1407.98
2015-09-18,650.79
2015-09-19,513.4
2015-09-20,1174.52
2015-09-21,1601.15
2015-09-22,1357.3600000000001
2015-09-23,1358.3899999999999
2015-09-24,1473.0600000000002
2015-09-25,661.12
2015-09-26,448.33
2015-09-27,1328.43
2015-09-28,1751.96
2015-09-29,1486.4899999999998
2015-09-30,1507.15
2015-10-01,1504.0600000000002
2015-10-02,634.8100000000001
2015-10-03,512.8
2015-10-04,1509.57
2015-10-05,2070.01
2015-10-06,1960.4
2015-10-07,1726.51
2015-10-08,1645.87
2015-10-09,691.5999999999999
2015-10-10,499.32
2015-10-11,1399.8400000000001
2015-10-12,1756.5
2015-10-13,1757.54
2015-10-14,1644.8500000000001
2015-10-15,1398.72
2015-10-16,1024.54
2015-10-17,557.19
2015-10-18,1160.98
2015-10-19,1655.89
2015-10-20,1558.34
2015-10-21,1793.58
2015-10-22,1284.59
2015-10-23,492.74
2015-10-24,401.08
2015-10-25,1052.39
2015-10-26,1664.4900000000002
2015-10-27,1706.8899999999999
2015-10-28,1706.1000000000001
2015-10-29,1411.4099999999999
2015-10-30,759.9799999999999
2015-10-31,511.62
2015-11-01,1053.65
2015-11-02,1530.32
2015-11-03,1632.69
2015-11-04,1785.72
2015-11-05,1588.22
2015-11-06,695.8800000000001
2015-11-07,496.31
