Date,total_usage,xgboost_pred,ridge_pred,en_pred,prophet_pred,avg_usage_plags,avg_usage_plags_week,ensemble_preds,sarimax_preds
2/15/2024,2189.28,2345.107625,1958.892853,1877.264685,2249.610389,1888.982279,1945.607553,2273.784842,1895.220923
2/16/2024,1483.23,1673.817903,1707.782711,1780.628563,1706.222319,1488.348905,1369.087798,1786.005504,1280.277233
2/17/2024,1275.08,1392.918484,1423.918414,1404.313958,1405.232773,1341.116799,1157.192574,1496.63295,1064.429378
2/18/2024,1650.58,1722.528944,1678.920622,1641.497303,1873.603887,1642.038374,1577.932745,1843.999792,1497.696513
2/19/2024,2004.13,2172.698042,2196.084321,2196.9041,2407.287013,2070.440358,2162.056404,2367.545745,2083.93301
2/20/2024,2383.84,2095.189639,2201.095244,2145.153659,2475.607917,2215.851246,2220.025,2439.61154,2168.320015
2/21/2024,2104.56,2374.628169,2426.264269,2351.75628,2421.995593,2149.762754,2149.905862,2478.319593,2089.201293
2/22/2024,1994.73,2010.578135,1950.384924,1802.386881,2257.887786,1893.784179,1956.054787,2264.072252,1895.425101
2/23/2024,1626.53,1528.55135,1645.144666,1571.282507,1708.340668,1491.521754,1377.590883,1759.906872,1280.481415
2/24/2024,1208.14,1579.299211,1450.537139,1495.704468,1400.217756,1340.153782,1158.86183,1464.274958,1064.633571
2/25/2024,1775.06,1637.166306,1477.629993,1426.035272,1860.735824,1637.226642,1571.067532,1761.378842,1497.900701
2/26/2024,2315.84,2238.68915,2170.007885,2290.541383,2386.120093,2058.776335,2148.41034,2282.660606,2084.137189
2/27/2024,2196.6,2308.616319,2381.867349,2389.074548,2445.980077,2209.676832,2215.356489,2486.627084,2168.524185
2/28/2024,2254.13,2168.012306,2131.350786,2048.414826,2384.028863,2139.410352,2137.713947,2400.24818,2089.405459
2/29/2024,2694.98,2154.614657,2088.580527,2114.35393,2211.979206,1889.00848,1950.102872,2268.37206,1895.629265
3/1/2024,1753.73,1856.110737,2034.406777,2097.83104,1655.144173,1489.345296,1369.743862,1786.784697,1280.685579
3/2/2024,1278.38,1367.323384,1371.306856,1458.755301,1340.617733,1345.574117,1153.436085,1427.558547,1064.837736
3/3/2024,1460.56,1836.091792,1622.548849,1695.589435,1795.81327,1636.447112,1567.319234,1770.617831,1498.104865
3/4/2024,2528.51,2151.227786,2034.528383,1935.130984,2317.112558,2056.680804,2143.833745,2251.714166,2084.341353
3/5/2024,2295.02,2425.425123,2446.048896,2625.203392,2374.236744,2212.64862,2215.532128,2381.044837,2168.728348
3/6/2024,2120.17,2270.046175,2298.808718,2318.067497,2310.962292,2143.431581,2131.478521,2360.259063,2089.609622
3/7/2024,2195.57,2016.45067,2153.811658,2149.786298,2139.015321,1890.701218,1950.888617,2238.520963,1895.833427
3/8/2024,1032.34,1695.063591,1565.483091,1717.680727,1583.672184,1483.095911,1357.443117,1698.741445,1280.889742
3/9/2024,815.62,739.2739905,832.2882303,757.6786877,1271.941615,1322.255905,1139.326936,1340.320912,1065.041898
3/10/2024,2031.18,1331.356572,1639.459456,1403.315047,1731.106409,1622.275101,1546.066149,1726.093017,1498.309028
3/11/2024,2671.94,2436.043007,2671.81972,2581.104249,2257.377055,2046.163095,2129.032574,2365.777763,2084.545516
3/12/2024,2381.92,2698.765068,2557.483031,2469.175687,2320.268715,2220.011972,2212.184149,2448.18134,2168.932511
3/13/2024,2047.94,2241.916216,2347.092134,2364.639608,2263.324302,2141.880575,2123.048096,2352.539092,2089.813784
3/14/2024,2100.28,1966.36469,2035.178967,1947.282445,2098.016885,1888.404067,1947.641702,2162.969741,1896.03759
3/15/2024,1325.5,1486.7576,1476.747393,1323.172233,1549.358966,1471.474514,1345.204181,1649.002111,1281.093905
3/16/2024,1167.4,1115.255432,1262.176597,1193.349551,1244.093726,1318.84081,1134.957574,1396.916083,1065.246061
3/17/2024,1891.93,1641.815039,1845.492163,1764.816244,1709.245877,1618.824475,1541.621894,1792.669855,1498.513191
3/18/2024,2777.69,2465.599678,2437.602407,2512.36976,2240.78426,2041.312682,2124.988638,2320.433575,2084.749678
3/19/2024,2681.36,2596.541852,2499.582177,2556.323054,2308.007297,2215.258263,2205.087766,2435.94567,2169.136673
3/20/2024,2464.64,2484.717697,2395.226842,2447.496884,2254.273766,2134.999838,2119.403309,2353.46356,2090.017947
