Date,Usage
2015-08-01,36.12
2015-08-02,137.26
2015-08-03,158.93
2015-08-04,184.73
2015-08-05,209.5
2015-08-06,233.23
2015-08-07,94.94
2015-08-08,31.99
2015-08-09,157.9
2015-08-10,228.07
2015-08-11,246.65
2015-08-12,244.58
2015-08-13,177.5
2015-08-14,67.08
2015-08-15,38.18
2015-08-16,146.54
2015-08-17,153.77
2015-08-18,143.45
2015-08-19,200.21
2015-08-20,233.23
2015-08-21,84.62
2015-08-22,36.12
2015-08-23,169.25
2015-08-24,192.98
2015-08-25,216.72
2015-08-26,208.46
2015-08-27,165.12
2015-08-28,68.11
2015-08-29,35.09
2015-08-30,171.31
2015-08-31,164.0
2015-09-01,191.1
2015-09-02,192.14
2015-09-03,167.35
2015-09-04,67.14
2015-09-05,28.92
2015-09-06,28.92
2015-09-07,143.59
2015-09-08,201.44
2015-09-09,169.41
2015-09-10,162.18
2015-09-11,84.71
2015-09-12,33.06
2015-09-13,151.85
2015-09-14,201.44
2015-09-15,197.3
2015-09-16,209.7
2015-09-17,234.49
2015-09-18,99.17
2015-09-19,32.02
2015-09-20,113.63
2015-09-21,163.21
2015-09-22,155.98
2015-09-23,176.64
2015-09-24,224.16
2015-09-25,88.84
2015-09-26,33.06
2015-09-27,155.98
2015-09-28,203.5
2015-09-29,190.07
2015-09-30,203.5
2015-10-01,201.44
2015-10-02,93.06
2015-10-03,39.29
2015-10-04,166.47
2015-10-05,236.79
2015-10-06,227.48
2015-10-07,208.67
2015-10-08,191.1
2015-10-09,56.81
2015-10-10,32.02
2015-10-11,139.46
2015-10-12,209.7
2015-10-13,183.87
2015-10-14,177.68
2015-10-15,212.8
2015-10-16,78.51
2015-10-17,56.81
2015-10-18,132.22
2015-10-19,167.0
2015-10-20,147.0
2015-10-21,162.0
2015-10-22,190.07
2015-10-23,65.08
2015-10-24,37.19
2015-10-25,144.62
2015-10-26,184.91
2015-10-27,175.61
2015-10-28,195.43
2015-10-29,242.99
2015-10-30,104.43
2015-10-31,54.8
2015-11-01,123.05
2015-11-02,176.81
2015-11-03,179.92
2015-11-04,157.17
2015-11-05,171.64
2015-11-06,101.33
2015-11-07,47.56
2015-11-08,160.27
2015-11-09,207.83
2015-11-10,211.97
2015-11-11,196.46
2015-11-12,222.31
2015-11-13,126.15
2015-11-14,86.86
2015-11-15,159.24
2015-11-16,216.11
2015-11-17,163.37
2015-11-18,193.36
2015-11-19,270.91
2015-11-20,186.12
2015-11-21,143.73
2015-11-22,261.6
2015-11-23,292.62
2015-11-24,290.55
2015-11-25,160.27
2015-11-26,112.71
2015-11-27,129.25
2015-11-28,136.49
2015-11-29,228.51
2015-11-30,287.45
2015-12-01,284.35
2015-12-02,354.66
2015-12-03,359.83
2015-12-04,282.28
2015-12-05,209.9
2015-12-06,261.6
2015-12-07,308.13
2015-12-08,261.6
2015-12-09,275.04
2015-12-10,262.64
2015-12-11,96.16
2015-12-12,59.97
2015-12-13,133.39
