Date,ensemble_preds,sarimax_preds
5/26/2024,1295.889853,1500.554816
5/27/2024,1670.12779,2086.791303
5/28/2024,1891.530967,2171.178298
5/29/2024,1881.772309,2092.059572
5/30/2024,1782.887178,1898.283378
5/31/2024,1306.820611,1283.339692
6/1/2024,1083.734857,1067.491849
6/2/2024,1401.215828,1500.758978
6/3/2024,1849.377458,2086.995466
6/4/2024,1960.126677,2171.382461
6/5/2024,1969.829852,2092.263734
6/6/2024,1811.301656,1898.48754
6/7/2024,1409.663045,1283.543855
6/8/2024,1235.017397,1067.696011
6/9/2024,1535.484407,1500.963141
6/10/2024,1969.787974,2087.199628
6/11/2024,2032.308018,2171.586623
6/12/2024,2005.402376,2092.467897
6/13/2024,1850.17039,1898.691703
6/14/2024,1474.977738,1283.748017
6/15/2024,1194.130717,1067.900174
6/16/2024,1500.235703,1501.167303
6/17/2024,1960.573399,2087.403791
6/18/2024,1999.214471,2171.790786
6/19/2024,1926.903362,2092.672059
6/20/2024,1891.67826,1898.895865
6/21/2024,1394.329803,1283.95218
6/22/2024,1161.466629,1068.104336
6/23/2024,1477.806814,1501.371466
6/24/2024,1954.777477,2087.607953
6/25/2024,1976.227805,2171.994948
6/26/2024,2002.647039,2092.876222
6/27/2024,1855.416355,1899.100028
6/28/2024,1332.073241,1284.156342
6/29/2024,1103.800829,1068.308499
6/30/2024,1404.764727,1501.575628
7/1/2024,1678.585011,2087.812116
7/2/2024,1879.301057,2172.199111
7/3/2024,1873.040615,2093.080385
7/4/2024,1555.920473,1899.30419
7/5/2024,1129.288203,1284.360505
7/6/2024,982.0864049,1068.512661
7/7/2024,1333.243233,1501.779791
7/8/2024,1670.551711,2088.016278
7/9/2024,1740.332523,2172.403273
7/10/2024,1557.422212,2093.284547
7/11/2024,1440.394248,1899.508353
7/12/2024,1172.284254,1284.564667
7/13/2024,968.8441348,1068.716824
7/14/2024,1247.030628,1501.983953
7/15/2024,1681.411875,2088.220441
7/16/2024,1780.703451,2172.607436
7/17/2024,1754.815643,2093.48871
7/18/2024,1667.636178,1899.712515
7/19/2024,1309.68268,1284.76883
7/20/2024,1061.527503,1068.920986
7/21/2024,1333.530431,1502.188116
7/22/2024,1797.111999,2088.424603
7/23/2024,1835.133842,2172.811599
7/24/2024,1775.488967,2093.692872
7/25/2024,1720.095962,1899.916678
7/26/2024,1338.903996,1284.972992
7/27/2024,1111.56678,1069.125149
7/28/2024,1416.789567,1502.392278
7/29/2024,1724.825431,2088.628766
7/30/2024,1821.592894,2173.015761
7/31/2024,1762.018879,2093.897035
8/1/2024,1737.902642,1900.12084
8/2/2024,1343.778458,1285.177155
8/3/2024,1145.932889,1069.329311
8/4/2024,1480.261977,1502.596441
8/5/2024,1797.32287,2088.832928
8/6/2024,1875.055708,2173.219924
8/7/2024,1848.172548,2094.101197
8/8/2024,1683.190799,1900.325003
8/9/2024,1288.373784,1285.381317
8/10/2024,1147.141944,1069.533474
8/11/2024,1319.286085,1502.800603
8/12/2024,1693.052118,2089.037091
8/13/2024,1733.112914,2173.424086
8/14/2024,1728.792028,2094.30536
8/15/2024,1579.115712,1900.529165
8/16/2024,1265.862052,1285.58548
8/17/2024,1036.041764,1069.737636
8/18/2024,1288.675519,1503.004766
8/19/2024,1619.055495,2089.241253
8/20/2024,1766.521487,2173.628249
8/21/2024,1691.541311,2094.509522
8/22/2024,1644.242005,1900.733328
8/23/2024,1224.663341,1285.789642
8/24/2024,1056.53032,1069.941799
8/25/2024,1313.288202,1503.208928
8/26/2024,1726.184385,2089.445416
8/27/2024,1852.238248,2173.832411
8/28/2024,1797.514227,2094.713685
8/29/2024,1604.656669,1900.93749
8/30/2024,1197.178741,1285.993805
8/31/2024,961.6275426,1070.145961
9/1/2024,1159.61966,1503.413091
9/2/2024,1464.066005,2089.649578
9/3/2024,1620.786932,2174.036574
9/4/2024,1649.733016,2094.917847
9/5/2024,1560.360795,1901.141653
9/6/2024,1208.119006,1286.197967
9/7/2024,983.6557516,1070.350124
9/8/2024,1168.3597,1503.617253
9/9/2024,1627.06455,2089.853741
9/10/2024,1821.942397,2174.240736
9/11/2024,1810.516627,2095.12201
